entity,schema,endpoint,field,nested_in,json_type,nullable_observed,sample_value,source,notes
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,id,,integer,no,1121,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,startDate,,string,no,2026-09-02T00:00:00,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,endDate,,string,no,2026-09-04T00:00:00,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,description,,string,no,BEX Asia 2026,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,location,,string,no,Singapore,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,url,,string,no,www.bex-asia.com,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,inUrl,,string,yes,events.asp?compid=7750&yr=2026&page_num=1,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,eventImage,,string,no,bexasia2026.jpg,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,lid,,string,no,2,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,publish,,string,no,y,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,compId,,null,yes,,live,
Event,events,https://development.acnnewswire.com/api/Events?pageNumber=1&pageSize=100,companies,,array[empty],no,,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},articleId,,integer,no,109486,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},headline,,string,no,The 4th International &amp; Indonesia CCS Forum 2026 Strengthens Indonesia&apos;s Position as an Emerging Regional CCS Hub,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},subHeadLine,,string,yes,,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},body,,null,yes,,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},bodyText,,string,no,Indonesia is strengthening its position as one of the Asia-Pacific&apos;s most promising markets for Carbon Capture and Storage (CCS) development. As the country moves from policy  ...[truncated],live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},bodyHtml,,string,no,"<p style=""text-align: justify;""><strong>JAKARTA, Aug 27, 2026 - (ACN Newswire) -&nbsp;</strong>Indonesia is strengthening its position as one of the Asia-Pacific's most promising m ...[truncated]",live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},publishDate,,string,no,2026-08-27T17:00:00,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},summary,,string,no,Indonesia is strengthening its position as one of the Asia-Pacific&apos;s most promising markets for Carbon Capture and Storage (CCS) development.,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},sourceId,,integer,no,2,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},hasImage,,boolean,no,false,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},hasFile,,boolean,no,false,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},companies,,array[object],no,"[{""companyID"": 2198, ""topLogoFileName"": ""PTPertamina35.jpg"", ""logoFileName"": ""PTPertamina.jpg"", ""companyURL"": ""www.pertamina.com/en"", ""companyName"": ""PT Pertamina"", ""sectorName"": "" ...[truncated]",live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},images,,array[object],no,"[{""thumbImage"": """", ""bigImage"": ""20260827.CCS_1.jpg"", ""caption"": """"}, {""thumbImage"": """", ""bigImage"": ""20260827.CCS_2.jpg"", ""caption"": """"}]",live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},sectors,,string,no,"[""Energy, Alternatives"",""Environment, ESG"",""Alternative Energy"",""ASEAN"",""Oil & Gas""]",live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},topicName,,string,no,Press release summary,live,
Article,article-detail,https://development.acnnewswire.com/api/Articles/press-release/{id},sourceName,,string,no,ACN Newswire,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,articleId,,integer,no,109486,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,headline,,string,no,The 4th International &amp; Indonesia CCS Forum 2026 Strengthens Indonesia&apos;s Position as an Emerging Regional CCS Hub,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,publishDate,,string,no,2026-08-27T17:00:00,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,summary,,string,yes,Indonesia is strengthening its position as one of the Asia-Pacific&apos;s most promising markets for Carbon Capture and Storage (CCS) development.,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,sourceId,,integer,no,2,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,hasImage,,boolean,no,false,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,hasFile,,boolean,no,false,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,sectorName,,string,no,Automotive,live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,companies,,array[object],no,"[{""companyID"": 2198, ""topLogoFileName"": ""PTPertamina35.jpg"", ""logoFileName"": ""PTPertamina.jpg"", ""companyURL"": ""www.pertamina.com/en"", ""companyName"": ""PT Pertamina"", ""sectorName"": "" ...[truncated]",live,
Article (list),article-list-homepage,https://development.acnnewswire.com/api/articles/homepage?Page&Size,images,,array[object],no,"[{""thumbImage"": """", ""bigImage"": ""20260827.CCS_1.jpg"", ""caption"": """"}, {""thumbImage"": """", ""bigImage"": ""20260827.CCS_2.jpg"", ""caption"": """"}]",live,
Article (list),article-list-by-industry,https://development.acnnewswire.com/api/Articles/by-industry?industry&pageNumber&pageSize,articleId,,integer,no,109485,live,
Article (list),article-list-by-industry,https://development.acnnewswire.com/api/Articles/by-industry?industry&pageNumber&pageSize,headline,,string,no,GA-ASI and Fujitsu sign MOU for the maintenance and operation of unmanned aircraft systems in Japan,live,
Article (list),article-list-by-industry,https://development.acnnewswire.com/api/Articles/by-industry?industry&pageNumber&pageSize,publishDate,,string,no,2026-08-27T14:04:00,live,
Article (list),article-list-by-industry,https://development.acnnewswire.com/api/Articles/by-industry?industry&pageNumber&pageSize,summary,,string,no,"General Atomics Aeronautical Systems, Inc.(GA-ASI) [1] and Fujitsu Limited (Fujitsu) [2] today announced that they have signed a Memorandum of Understanding (MOU) regarding the est ...[truncated]",live,
Article (list),article-list-by-industry,https://development.acnnewswire.com/api/Articles/by-industry?industry&pageNumber&pageSize,sourceId,,integer,no,3,live,
